park	recreational_visits	non_recreational_visits	recreational_hours	non_recreational_hours	concessioner_lodging	concessioner_camping	tents_overnight	rv_overnights	backcountry_overnights	non_recreational_overnights	misc_overnights
Saguaro NP	"964,760"	"2,139,033"	"1,023,894"	"534,757"	0	0	0	0	"2,339"	0	0
Saint Croix Island International Historic Site	"11,872"	0	"14,839"	0	0	0	0	0	0	0	0
Saint Croix NSR	"772,475"	0	"6,950,526"	0	0	0	0	0	"81,743"	0	0
Saint Paul's Church NHS	"21,190"	505	"27,990"	278	0	0	0	0	0	0	0
Saint-Gaudens NHS	"37,556"	0	"73,486"	0	0	0	0	0	0	0	0
Salem Maritime NHS	"373,630"	0	"251,237"	0	0	0	0	0	0	0	0
Salinas Pueblo Missions NM	"35,148"	0	"68,178"	0	0	0	0	0	0	0	0
Salt River Bay NHP & Ecological Pres	"10,567"	0	"15,633"	0	0	0	0	0	0	0	0
San Antonio Missions NHP	"1,381,383"	0	"1,919,273"	0	0	0	0	0	0	0	0
San Francisco Maritime NHP	"4,493,519"	0	"4,217,538"	0	0	0	0	0	0	0	292
San Juan Island NHP	"267,209"	"74,023"	"443,046"	"18,508"	0	0	0	0	0	0	0
San Juan NHS	"1,188,780"	0	"2,298,993"	0	0	0	0	0	0	0	0
Sand Creek Massacre NHS	"6,535"	0	"13,070"	0	0	0	0	0	0	0	0
Santa Monica Mountains NRA	"897,593"	"93,637"	"1,682,385"	"47,360"	0	0	0	0	144	0	0
Saratoga NHP	"97,781"	"68,955"	"320,385"	"5,515"	0	0	0	0	0	0	0
Saugus Iron Works NHS	"12,256"	"45,625"	"18,383"	"4,566"	0	0	0	0	0	0	0
Scotts Bluff NM	"152,560"	0	"289,865"	0	0	0	0	0	0	0	0
Sequoia NP	"1,291,256"	"13,549"	"41,884,679"	"54,196"	"67,151"	0	"139,901"	"56,944"	"36,660"	0	292
Shenandoah NP	"1,458,874"	"10,962"	"11,288,181"	"2,742"	"106,271"	0	"115,578"	"51,846"	"59,763"	0	148
Shiloh NMP	"435,107"	"198,431"	"625,194"	"39,686"	0	0	0	0	0	0	0
Sitka NHP	"194,880"	0	"118,514"	0	0	0	0	0	0	0	0
Sleeping Bear Dunes NL	"1,678,126"	0	"9,025,713"	0	0	0	"59,388"	"56,224"	"25,033"	0	0
Springfield Armory NHS	"25,109"	0	"50,217"	0	0	0	0	0	0	0	0
Statue of Liberty NM	"4,441,988"	0	"19,988,944"	0	0	0	0	0	0	0	0
Steamtown NHS	"103,956"	"11,592"	"164,363"	"5,796"	0	0	0	0	0	0	0
Stones River NB	"230,562"	"1,523"	"436,047"	323	0	0	0	0	0	0	0
Stonewall NM	"106,791"	50	"100,689"	200	0	0	0	0	0	0	0
Sunset Crater Volcano NM	"119,454"	"12,000"	"149,316"	"3,996"	0	0	0	0	0	0	0
Tallgrass Prairie NPRES	"30,773"	0	"61,546"	0	0	0	0	0	0	0	0
Thaddeus Kosciuszko NMEM	"2,293"	0	573	0	0	0	0	0	0	0	0
Theodore Roosevelt Birthplace NHS	"24,884"	314	"24,970"	277	0	0	0	0	0	0	0
Theodore Roosevelt Inaugural NHS	"28,585"	0	"54,391"	0	0	0	0	0	0	0	0
Theodore Roosevelt Island	"168,195"	0	"302,752"	0	0	0	0	0	0	0	0
Theodore Roosevelt NP	"708,003"	"6,578"	"2,506,618"	"2,172"	0	0	"14,723"	"17,750"	587	0	"1,997"
Thomas Edison NHP	"59,323"	0	"77,442"	0	0	0	0	0	0	0	0
Thomas Jefferson MEM	"3,366,571"	0	"1,683,285"	0	0	0	0	0	0	0	0
Thomas Stone NHS	"10,250"	0	"5,126"	0	0	0	0	0	0	0	0
Timpanogos Cave NM	"100,740"	0	"212,775"	0	0	0	0	0	0	0	0
Timucuan EHP	"1,218,306"	0	"3,068,292"	0	0	0	0	0	0	0	0
Tonto NM	"40,898"	0	"72,831"	0	0	0	0	0	0	0	0
Tumacacori NHP	"46,308"	0	"70,394"	0	0	0	0	0	0	0	256
Tuskegee Airmen NHS	"39,322"	0	"58,982"	0	0	0	0	0	0	0	0
Tuskegee Institute NHS	"20,407"	0	"37,865"	0	0	0	0	0	0	0	0
Tuzigoot NM	"109,388"	0	"109,388"	0	0	0	0	0	0	0	0
Ulysses S. Grant NHS	"59,761"	0	"89,642"	0	0	0	0	0	0	0	0
Upper Delaware S&RR	"253,537"	"2,130"	"1,005,366"	532	0	0	0	0	0	0	0
